Symbol;Type;Volume;Open time;Open price
MRK;BUY;0,4000;22/01/2025 17:27:55;96,0300
SLB;BUY;2,0000;06/01/2025 20:13:26;38,9300
TSCO;BUY;1,0000;08/01/2025 17:37:22;54,1100
AMD;BUY;0,5005;13/01/2025 15:46:14;115,0000
TSM;BUY;1,0000;27/01/2025 15:33:27;201,8900
FNV;BUY;1,0000;06/01/2025 20:22:04;121,2600
UBER;BUY;1,0000;07/01/2025 15:42:34;67,6600
PFE;BUY;3,0000;05/01/2024 20:36:10;29,3100
MSFT;BUY;0,2000;14/01/2025 15:55:06;417,1300
COP;BUY;0,5000;22/01/2025 17:17:25;104,1900
AEHR;BUY;3,0000;10/01/2024 17:12:20;18,6700
AMZN;BUY;1,0000;03/01/2025 18:21:09;223,9700
JNJ;BUY;2,0000;06/01/2025 20:17:40;143,9500
MSFT;BUY;0,2000;14/01/2025 15:52:51;417,5900
PFE;BUY;5,0000;28/12/2023 15:40:17;28,7700
ADBE;BUY;0,0924;21/01/2025 19:28:42;438,3100
INTC;BUY;2,0000;19/12/2023 15:38:17;45,9000
ADBE;BUY;1,0000;23/01/2025 15:34:26;434,0000
ON;BUY;1,0000;23/01/2025 15:30:05;55,0500
SLB;BUY;1,0000;23/01/2025 16:53:40;41,8000
AMD;BUY;0,5000;24/01/2025 15:47:08;123,5100
PFE;BUY;5,0000;02/01/2024 18:14:40;30,0300
PANW;BUY;1,0000;07/01/2025 15:32:36;177,8400
AMD;BUY;0,3800;10/01/2025 15:54:01;115,1800
INTC;BUY;5,0000;07/12/2023 18:36:33;41,9900
PFE;BUY;5,0000;02/01/2024 16:09:34;29,6700
NVDA;BUY;0,2550;28/01/2025 16:13:00;119,3700
AMD;BUY;0,5000;28/01/2025 16:12:14;113,8800
TSCO;BUY;1,0000;08/01/2025 15:30:01;53,8500
AMD;BUY;2,9990;06/01/2025 20:20:42;129,6000
AMD;BUY;0,1205;14/01/2025 20:12:35;116,0600
AMD;BUY;1,0000;23/01/2025 19:19:22;123,6400
MSFT;BUY;0,1000;14/01/2025 17:26:05;416,3000
UBER;BUY;1,0000;10/01/2025 15:51:12;65,2500
COP;BUY;2,0000;07/01/2025 15:34:01;100,6800
MSFT;BUY;0,3000;14/01/2025 21:09:11;412,1400
MSFT;BUY;0,0250;23/01/2025 18:55:33;442,7000
UBER;BUY;3,0000;07/01/2025 15:31:41;68,3600
PFE;BUY;1,0000;23/01/2025 15:30:20;26,0000
MSFT;BUY;0,1800;14/01/2025 21:11:32;411,6700
MRK;BUY;0,3576;14/02/2025 16:09:23;83,8500
MSFT;BUY;0,1226;14/02/2025 16:10:27;407,5500
DAL;BUY;1,0000;14/02/2025 16:11:39;64,3600
COP;BUY;0,3077;14/02/2025 16:12:44;97,4800
TSM;BUY;0,1000;14/02/2025 18:09:28;199,0600
