Stock;Price;Change;Percent Change;Closing Price;Sector;Industry;Employees;Founded;Website;1-day range;52-week range;Market cap;Market cap clear;P/E ratio;Next earnings date;Dividend yield;Ex-dividend date;Dividend pay date;Number of analysts;Buy Recommendation;Hold Recommendation;Sell Recommendation;Smart Score;Score;High Forecast;High Forecast Percent;Median Forecast;Median Forecast Percent;Low Forecast;Low Forecast Percent;Total revenue Value;Total revenue Change;Net income Value;Net income Change;Earnings per share Value;Earnings per share Change;Net profit margin Value;Net profit margin Change;Free cash flow Value;Free cash flow Change;Debt-to-equity ratio Value;Debt-to-equity ratio Change;Date of record;Time of record;Page Load Time (s);Dynamic Element Load Time (s);Fear & Greed Index;;;;;;;;;;;;;;
AAPL;242.21;- 2.79;-1.14;242.67;Electronic Technology;Telecommunications Equipment;164000;1976;www.apple.com;"241.35
245.55";"164.07
260.10";3.66T;3660000000000.0;39.81;Jan 29, 2025;0.43;2024-11-07;2024-11-13;53;0.66;0.28;0.06;3;1.2419330333181948;300.0;23.859460798480654;250.0;3.216217332067211;184.0;-24.032864043598533;94.93B;4.60%;14.74B;37.65%;0.97;33.99%;15.52%;39.48%;23.90B;15.51%;2.09;4.83%;2025-01-08;10:53:38 UTC;3.86;0.02;;;;;;;;;;;;;;;
NVDA;140.14;- 9.29;-6.22;142.57;Electronic Technology;Semiconductors;29600;1993;www.nvidia.com;"140.01
153.13";"48.31
153.13";3.43T;3430000000000.0;55.2;Feb 25, 2025;0.03;2024-12-04;2024-12-26;66;0.91;0.09;0.0;10;2.4789653203938924;220.0;56.98587127158557;175.0;24.87512487512489;101.91;-27.2798629941487;35.08B;93.61%;19.31B;108.90%;0.78;110.31%;55.04%;7.90%;16.81B;138.36%;0.16;53.19%;2025-01-08;10:53:38 UTC;4.16;0.01;;;;;;;;;;;;;;;
MSFT;422.37;- 5.48;-1.28;424.68;Technology Services;Packaged Software;228000;1975;www.microsoft.com;"420.80
430.65";"366.50
468.35";3.14T;3140000000000.0;34.86;Jan 28, 2025;0.67;2025-02-19;2025-03-12;58;0.95;0.05;0.0;9;3.0352077562326865;650.0;53.893505694059705;500.0;18.379619764661314;425.0;0.6226767999621174;65.58B;6.03%;24.67B;12.43%;3.30;10.54%;37.61%;4.64%;19.26B;8.15%;0.34;29.71%;2025-01-08;10:53:38 UTC;2.63;0.01;;;;;;;;;;;;;;;
AMZN;222.11;- 5.50;-2.42;223.01;Retail Trade;Internet Retail;1525000;1994;www.aboutamazon.com;"221.46
228.38";"144.53
233.00";2.33T;2330000000000.0;47.6;Jan 29, 2025;;;;72;0.94;0.04;0.01;10;2.2004443744090763;285.0;28.314798973481604;235.0;5.803430732519916;180.0;-18.959074332537938;158.88B;11.04%;15.33B;55.16%;1.43;52.59%;9.65%;39.73%;3.35B;61.65%;0.58;30.70%;2025-01-08;10:53:38 UTC;2.06;0.08;;;;;;;;;;;;;;;
GOOGL;195.49;- 1.38;-0.7;194.51;Technology Services;Internet Software/Services;182502;2015;www.abc.xyz;"194.60
201.00";"130.66
201.42";2.40T;2400000000000.0;25.93;Feb 3, 2025;;2024-12-08;2024-12-15;69;0.8;0.2;0.0;10;2.3951516701621562;240.0;22.768428052585804;210.0;7.42237454601258;185.0;-5.3660033761317765;88.25B;15.07%;26.30B;33.58%;2.12;36.56%;29.80%;16.09%;17.64B;21.96%;0.09;13.49%;2025-01-08;10:53:38 UTC;1.96;0.01;;;;;;;;;;;;;;;
GOOG;196.71;- 1.25;-0.63;195.81;Technology Services;Internet Software/Services;182502;2015;www.abc.xyz;"195.94
202.14";"131.55
202.88";2.40T;2400000000000.0;26.09;Feb 3, 2025;;2024-12-08;2024-12-15;68;0.79;0.21;0.0;7;2.326605154796401;240.0;22.00701540338569;210.0;6.7561384779624785;185.0;-5.952925626556864;88.25B;15.07%;26.30B;33.58%;2.12;36.56%;29.80%;16.09%;17.64B;21.96%;0.09;13.49%;2025-01-08;10:53:38 UTC;1.92;0.01;;;;;;;;;;;;;;;
META;617.89;- 12.31;-1.95;619.38;Technology Services;Internet Software/Services;67317;2004;meta.com;"608.23
632.10";"346.26
638.40";1.56T;1560000000000.0;29.1;Jan 28, 2025;;2024-12-15;2024-12-26;71;0.83;0.14;0.03;10;1.9750696725954455;811.0;31.253135671397825;660.0;6.815128906439661;475.0;-23.125475408244185;40.59B;18.87%;15.69B;35.44%;6.03;37.58%;38.65%;13.94%;16.47B;18.81%;0.30;15.57%;2025-01-08;10:53:38 UTC;1.68;0.01;;;;;;;;;;;;;;;
TSLA;394.36;- 16.69;-4.06;396.00;Consumer Durables;Motor Vehicles;140473;2003;www.tesla.com;"390.00
414.33";"138.80
488.54";1.26T;1260000000000.0;108.03;Jan 28, 2025;;;;58;0.47;0.29;0.24;8;-0.9788000811441322;528.0;33.887818237143726;278.0;-29.50603509483721;116.0;-70.58525205396084;25.18B;7.85%;2.17B;17.07%;0.62;16.95%;8.61%;8.55%;2.74B;222.97%;0.18;19.38%;2025-01-08;10:53:38 UTC;1.58;0.01;;;;;;;;;;;;;;;
AVGO;228.64;- 7.77;-3.29;231.33;Electronic Technology;Semiconductors;37000;1961;www.broadcom.com;"227.60
239.50";"104.15
251.88";1.07T;1070000000000.0001;185.31;Feb 26, 2025;1.25;2024-12-22;2024-12-30;45;0.87;0.13;0.0;9;0.6685304408677399;240.0;4.968509447165856;200.0;-12.526242127361787;160.0;-30.02099370188943;14.05B;12.55%;4.21B;98.26%;0.90;n/a;29.92%;21.08%;5.48B;23.25%;1.02;38.39%;2025-01-08;10:53:38 UTC;1.71;0.01;;;;;;;;;;;;;;;
BRKR;61.25;+ 0.60;0.99;59.31;Health Technology;Medical Specialties;9707;1960;www.bruker.com;"60.59
62.46";"48.07
94.86";9.29B;9290000000.0;29.49;Feb 17, 2025;0.27;2024-12-01;2024-12-15;15;0.6;0.33;0.07;5;1.23;85.0;38.775510204081634;72.5;18.367346938775512;54.0;-11.83673469387755;864.40M;16.37%;40.90M;53.58%;0.27;55.01%;4.73%;60.11%;5.80M;66.28%;1.34;32.62%;2025-01-08;10:53:38 UTC;2.36;0.01;;;;;;;;;;;;;;;
