Exchange;Symbol
NASDAQ;AAPL
NASDAQ;NVDA
NASDAQ;MSFT
NASDAQ;AMZN
NASDAQ;GOOGL
NASDAQ;GOOG
NASDAQ;META
NASDAQ;TSLA
NASDAQ;AVGO
NYSE;BRK-B
NYSE;WMT
NYSE;LLY
NYSE;JPM
NYSE;V
NYSE;MA
NYSE;ORCL
NYSE;XOM
NYSE;UNH
NASDAQ;COST
NYSE;PG
NYSE;HD
NASDAQ;NFLX
NYSE;JNJ
NYSE;BAC
NYSE;CRM
NYSE;ABBV
NYSE;KO
NASDAQ;TMUS
NYSE;CVX
NYSE;MRK
NYSE;WFC
NASDAQ;CSCO
NYSE;ACN
NYSE;NOW
NYSE;AXP
NYSE;MCD
NASDAQ;PEP
NYSE;BX
NYSE;IBM
NYSE;DIS
NASDAQ;LIN
NYSE;TMO
NYSE;MS
NYSE;ABT
NASDAQ;ADBE
NASDAQ;AMD
NYSE;PM
NASDAQ;ISRG
NASDAQ;PLTR
NYSE;GE
NASDAQ;INTU
NYSE;GS
NYSE;CAT
NASDAQ;TXN
NASDAQ;QCOM
NYSE;VZ
NASDAQ;BKNG
NYSE;DHR
NYSE;T
NYSE;BLK
NYSE;RTX
NYSE;SPGI
NYSE;PFE
NASDAQ;HON
NYSE;NEE
NASDAQ;CMCSA
NYSE;ANET
NASDAQ;AMGN
NYSE;PGR
NYSE;LOW
NYSE;SYK
NYSE;UNP
NYSE;TJX
NYSE;KKR
NYSE;SCHW
NYSE;ETN
NASDAQ;AMAT
NYSE;BA
NYSE;BSX
NYSE;C
NYSE;UBER
NYSE;COP
NASDAQ;PANW
NASDAQ;ADP
NYSE;DE
NYSE;FI
NYSE;BMY
NYSE;LMT
NASDAQ;GILD
NYSE;NKE
NYSE;CB
NYSE;UPS
NASDAQ;ADI
NYSE;MMC
NYSE;MDT
NASDAQ;VRTX
NASDAQ;MU
NASDAQ;SBUX
NYSE;PLD
NYSE;GEV
NASDAQ;LRCX
NYSE;MO
NYSE;SO
NASDAQ;EQIX
NASDAQ;CRWD
NASDAQ;PYPL
NYSE;SHW
NYSE;ICE
NASDAQ;CME
NYSE;AMT
NYSE;APH
NYSE;ELV
NYSE;TT
NYSE;MCO
NYSE;CMG
NASDAQ;INTC
NASDAQ;KLAC
NASDAQ;ABNB
NYSE;DUK
NYSE;PH
NASDAQ;CDNS
NYSE;WM
NYSE;DELL
NASDAQ;MDLZ
NASDAQ;MAR
NYSE;MSI
NYSE;WELL
NYSE;AON
NASDAQ;REGN
NYSE;CI
NYSE;HCA
NYSE;PNC
NYSE;ITW
NASDAQ;SNPS
NASDAQ;CTAS
NYSE;CL
NYSE;USB
NASDAQ;FTNT
NYSE;ZTS
NYSE;MCK
NYSE;GD
NYSE;TDG
NASDAQ;CEG
NYSE;AJG
NYSE;EMR
NYSE;MMM
NASDAQ;ORLY
NYSE;NOC
NYSE;COF
NYSE;ECL
NYSE;EOG
NYSE;FDX
NYSE;BDX
NYSE;APD
NYSE;WMB
NYSE;SPG
NASDAQ;ADSK
NYSE;RCL
NYSE;RSG
NYSE;CARR
NASDAQ;CSX
NYSE;HLT
NYSE;DLR
NYSE;TGT
NYSE;KMI
NYSE;OKE
NYSE;TFC
NYSE;AFL
NYSE;GM
NYSE;BK
NASDAQ;ROP
NYSE;MET
NASDAQ;CPRT
NYSE;FCX
NYSE;CVS
NASDAQ;PCAR
NYSE;SRE
NYSE;AZO
NYSE;TRV
NASDAQ;NXPI
NYSE;JCI
NYSE;GWW
NYSE;NSC
NYSE;PSA
NYSE;SLB
NYSE;AMP
NYSE;ALL
NYSE;FICO
NASDAQ;MNST
NASDAQ;PAYX
NASDAQ;CHTR
NASDAQ;AEP
NASDAQ;ROST
NYSE;PWR
NYSE;CMI
NASDAQ;AXON
NYSE;VST
NYSE;URI
NYSE;MSCI
NASDAQ;LULU
NYSE;O
NYSE;PSX
NYSE;AIG
NASDAQ;FANG
NYSE;D
NYSE;HWM
NYSE;DHI
NYSE;KR
NASDAQ;NDAQ
NYSE;OXY
NYSE;EW
NYSE;COR
NASDAQ;KDP
NYSE;FIS
NYSE;KMB
NYSE;NEM
NYSE;DFS
NYSE;PCG
NYSE;TEL
NYSE;MPC
NASDAQ;FAST
NYSE;AME
NYSE;PEG
NYSE;PRU
NYSE;KVUE
NYSE;STZ
NYSE;GLW
NYSE;LHX
NYSE;GRMN
NASDAQ;BKR
NYSE;CBRE
NYSE;CTVA
NYSE;HES
NYSE;CCI
NYSE;DAL
NASDAQ;CTSH
NYSE;F
NASDAQ;VRSK
NASDAQ;EA
NASDAQ;ODFL
NASDAQ;XEL
NYSE;TRGP
NYSE;A
NYSE;IT
NYSE;LVS
NYSE;SYY
NYSE;VLO
NYSE;OTIS
NYSE;LEN
NASDAQ;EXC
NYSE;IR
NYSE;YUM
NASDAQ;KHC
NASDAQ;GEHC
NYSE;IQV
NYSE;GIS
NYSE;CCL
NYSE;RMD
NYSE;VMC
NYSE;HSY
